,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.47922,0.14939,-0.0327,-0.47608,-0.47279,0.89313,0.40826,0.63155,0.85188,0.51184,0.83459
Monat,0.47922,1.0,0.0,0.00903,-0.96593,-0.99603,0.38052,-0.2589,0.00277,0.46298,-0.14839,0.45835
Jahr,0.14939,0.0,1.0,0.19272,0.0,0.0,0.19664,0.3264,0.31056,0.15182,0.2525,0.18909
pch_sm,-0.0327,0.00903,0.19272,1.0,0.0244,-0.02037,-0.06542,-0.01724,-0.06507,-0.06544,-0.03301,-0.15648
Month_cycl_sin,-0.47608,-0.96593,0.0,0.0244,1.0,0.93907,-0.40903,0.21888,-0.00292,-0.48802,0.13052,-0.45952
Month_cycl_cos,-0.47279,-0.99603,0.0,-0.02037,0.93907,1.0,-0.36475,0.26859,-0.00267,-0.44712,0.15221,-0.45077
MA3,0.89313,0.38052,0.19664,-0.06542,-0.40903,-0.36475,1.0,0.5586,0.68367,0.96863,0.61512,0.86125
MA6,0.40826,-0.2589,0.3264,-0.01724,0.21888,0.26859,0.5586,1.0,0.89153,0.39546,0.89912,0.42612
MA12,0.63155,0.00277,0.31056,-0.06507,-0.00292,-0.00267,0.68367,0.89153,1.0,0.54105,0.86618,0.6724
Lag_1,0.85188,0.46298,0.15182,-0.06544,-0.48802,-0.44712,0.96863,0.39546,0.54105,1.0,0.43272,0.82873
Lag_3,0.51184,-0.14839,0.2525,-0.03301,0.13052,0.15221,0.61512,0.89912,0.86618,0.43272,1.0,0.49306
Lag_12,0.83459,0.45835,0.18909,-0.15648,-0.45952,-0.45077,0.86125,0.42612,0.6724,0.82873,0.49306,1.0
