,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.26041,0.15037,-0.03629,-0.26756,0.22776,0.92338,0.90991,0.87881,0.92407,0.75553,0.93247
Monat,0.26041,1.0,-0.05393,-0.10688,-0.99615,0.96636,0.3979,0.4112,-0.00769,0.34824,0.48735,0.24464
Jahr,0.15037,-0.05393,1.0,0.12328,0.05638,-0.0443,0.14965,0.16845,0.31141,0.1543,0.09102,0.25898
pch_sm,-0.03629,-0.10688,0.12328,1.0,0.11128,-0.08918,-0.06621,-0.06426,-0.05587,-0.08357,-0.07901,-0.11268
Month_cycl_sin,-0.26756,-0.99615,0.05638,0.11128,1.0,-0.94008,-0.39193,-0.4043,0.00837,-0.33776,-0.47925,-0.25146
Month_cycl_cos,0.22776,0.96636,-0.0443,-0.08918,-0.94008,1.0,0.39753,0.41295,-0.00534,0.36331,0.48921,0.21366
MA3,0.92338,0.3979,0.14965,-0.06621,-0.39193,0.39753,1.0,0.99244,0.80675,0.97437,0.90951,0.87872
MA6,0.90991,0.4112,0.16845,-0.06426,-0.4043,0.41295,0.99244,1.0,0.80814,0.95896,0.92195,0.87588
MA12,0.87881,-0.00769,0.31141,-0.05587,0.00837,-0.00534,0.80675,0.80814,1.0,0.83792,0.61304,0.92962
Lag_1,0.92407,0.34824,0.1543,-0.08357,-0.33776,0.36331,0.97437,0.95896,0.83792,1.0,0.83923,0.89438
Lag_3,0.75553,0.48735,0.09102,-0.07901,-0.47925,0.48921,0.90951,0.92195,0.61304,0.83923,1.0,0.72202
Lag_12,0.93247,0.24464,0.25898,-0.11268,-0.25146,0.21366,0.87872,0.87588,0.92962,0.89438,0.72202,1.0
