,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.18918,0.20242,0.11415,-0.18745,0.15708,0.78114,0.85532,0.84272,0.94051,0.72983,0.77278
Monat,0.18918,1.0,-0.05872,0.00536,-0.86356,0.6354,0.47816,0.22626,0.00618,0.03067,0.42509,0.1673
Jahr,0.20242,-0.05872,1.0,0.2345,0.05321,-0.04114,0.19241,0.23381,0.30583,0.25869,0.1974,0.25569
pch_sm,0.11415,0.00536,0.2345,1.0,-0.01528,0.01972,0.11566,0.10638,0.04827,0.11969,0.12135,-0.23718
Month_cycl_sin,-0.18745,-0.86356,0.05321,-0.01528,1.0,-0.93808,-0.52511,-0.28509,-0.00548,-0.08301,-0.52904,-0.16511
Month_cycl_cos,0.15708,0.6354,-0.04114,0.01972,-0.93808,1.0,0.47563,0.28113,0.00414,0.10604,0.51811,0.13791
MA3,0.78114,0.47816,0.19241,0.11566,-0.52511,0.47563,1.0,0.89595,0.69746,0.70292,0.98356,0.75197
MA6,0.85532,0.22626,0.23381,0.10638,-0.28509,0.28113,0.89595,1.0,0.91661,0.85177,0.89714,0.86051
MA12,0.84272,0.00618,0.30583,0.04827,-0.00548,0.00414,0.69746,0.91661,1.0,0.87808,0.68281,0.8897
Lag_1,0.94051,0.03067,0.25869,0.11969,-0.08301,0.10604,0.70292,0.85177,0.87808,1.0,0.68623,0.74658
Lag_3,0.72983,0.42509,0.1974,0.12135,-0.52904,0.51811,0.98356,0.89714,0.68281,0.68623,1.0,0.72904
Lag_12,0.77278,0.1673,0.25569,-0.23718,-0.16511,0.13791,0.75197,0.86051,0.8897,0.74658,0.72904,1.0
