,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.14732,-0.01385,0.005,-0.15326,-0.14297,0.91373,0.78183,0.77964,0.97199,0.82084,0.74593
Monat,0.14732,1.0,0.0,0.05051,-0.96593,-0.99603,0.11002,-0.08423,0.00141,0.11926,-0.01821,0.12955
Jahr,-0.01385,0.0,1.0,0.21446,0.0,0.0,0.04244,0.18063,0.18828,-0.01227,0.05463,0.1111
pch_sm,0.005,0.05051,0.21446,1.0,-0.03352,-0.05555,-0.1368,-0.12946,-0.15622,-0.06081,-0.21388,-0.31631
Month_cycl_sin,-0.15326,-0.96593,0.0,-0.03352,1.0,0.93907,-0.10804,0.0789,-0.00139,-0.11036,-0.00124,-0.13532
Month_cycl_cos,-0.14297,-0.99603,0.0,-0.05555,0.93907,1.0,-0.10898,0.08474,-0.0014,-0.12045,0.0246,-0.12554
MA3,0.91373,0.11002,0.04244,-0.1368,-0.10804,-0.10898,1.0,0.89863,0.8973,0.94864,0.96178,0.87583
MA6,0.78183,-0.08423,0.18063,-0.12946,0.0789,0.08474,0.89863,1.0,0.9887,0.81923,0.91676,0.92106
MA12,0.77964,0.00141,0.18828,-0.15622,-0.00139,-0.0014,0.8973,0.9887,1.0,0.81464,0.90969,0.94269
Lag_1,0.97199,0.11926,-0.01227,-0.06081,-0.11036,-0.12045,0.94864,0.81923,0.81464,1.0,0.85668,0.78369
Lag_3,0.82084,-0.01821,0.05463,-0.21388,-0.00124,0.0246,0.96178,0.91676,0.90969,0.85668,1.0,0.8892
Lag_12,0.74593,0.12955,0.1111,-0.31631,-0.13532,-0.12554,0.87583,0.92106,0.94269,0.78369,0.8892,1.0
