,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,-0.24316,0.03391,-0.07759,-0.25587,-0.23499,0.93388,0.9006,0.81645,0.96346,0.88313,0.85344
Monat,-0.24316,1.0,0.0,0.13404,0.96593,0.99603,0.01121,0.0762,0.00151,-0.08054,0.11745,-0.21796
Jahr,0.03391,0.0,1.0,0.14428,-0.0,-0.0,0.04405,0.00842,0.18289,0.04344,0.03986,0.19746
pch_sm,-0.07759,0.13404,0.14428,1.0,0.14431,0.12841,-0.06948,-0.08994,-0.14762,-0.06751,-0.05798,-0.24312
Month_cycl_sin,-0.25587,0.96593,-0.0,0.14431,1.0,0.93907,0.00425,0.0715,0.00149,-0.08014,0.10595,-0.2294
Month_cycl_cos,-0.23499,0.99603,-0.0,0.12841,0.93907,1.0,0.01343,0.07662,0.00149,-0.07942,0.11956,-0.21061
MA3,0.93388,0.01121,0.04405,-0.06948,0.00425,0.01343,1.0,0.98077,0.86425,0.99124,0.98821,0.81884
MA6,0.9006,0.0762,0.00842,-0.08994,0.0715,0.07662,0.98077,1.0,0.87064,0.95872,0.9885,0.77837
MA12,0.81645,0.00151,0.18289,-0.14762,0.00149,0.00149,0.86425,0.87064,1.0,0.85424,0.86041,0.93525
Lag_1,0.96346,-0.08054,0.04344,-0.06751,-0.08014,-0.07942,0.99124,0.95872,0.85424,1.0,0.96077,0.84156
Lag_3,0.88313,0.11745,0.03986,-0.05798,0.10595,0.11956,0.98821,0.9885,0.86041,0.96077,1.0,0.77327
Lag_12,0.85344,-0.21796,0.19746,-0.24312,-0.2294,-0.21061,0.81884,0.77837,0.93525,0.84156,0.77327,1.0
