,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.11266,0.03939,-0.06631,-0.11445,0.10234,0.94622,0.90975,0.85515,0.97697,0.88686,0.85753
Monat,0.11266,1.0,-0.05393,-0.07692,-0.99615,0.96636,0.13511,0.14581,-0.00895,0.12168,0.13681,0.09591
Jahr,0.03939,-0.05393,1.0,0.12822,0.05638,-0.0443,-0.0225,0.02726,0.18789,0.01112,-0.05379,0.21291
pch_sm,-0.06631,-0.07692,0.12822,1.0,0.07973,-0.06521,-0.05393,-0.10911,-0.14062,-0.04557,-0.0762,-0.21397
Month_cycl_sin,-0.11445,-0.99615,0.05638,0.07973,1.0,-0.94008,-0.13313,-0.14526,0.00946,-0.11875,-0.13208,-0.09725
Month_cycl_cos,0.10234,0.96636,-0.0443,-0.06521,-0.94008,1.0,0.13484,0.14089,-0.00707,0.12481,0.14454,0.08765
MA3,0.94622,0.13511,-0.0225,-0.05393,-0.13313,0.13484,1.0,0.95454,0.83395,0.98326,0.97985,0.78515
MA6,0.90975,0.14581,0.02726,-0.10911,-0.14526,0.14089,0.95454,1.0,0.89264,0.93145,0.94877,0.84669
MA12,0.85515,-0.00895,0.18789,-0.14062,0.00946,-0.00707,0.83395,0.89264,1.0,0.8438,0.80668,0.9703
Lag_1,0.97697,0.12168,0.01112,-0.04557,-0.11875,0.12481,0.98326,0.93145,0.8438,1.0,0.93135,0.81627
Lag_3,0.88686,0.13681,-0.05379,-0.0762,-0.13208,0.14454,0.97985,0.94877,0.80668,0.93135,1.0,0.74007
Lag_12,0.85753,0.09591,0.21291,-0.21397,-0.09725,0.08765,0.78515,0.84669,0.9703,0.81627,0.74007,1.0
