,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.11657,-0.02069,-0.04917,-0.07751,0.03862,0.88595,0.87656,0.853,0.9461,0.83823,0.72522
Monat,0.11657,1.0,-0.05872,0.04589,-0.86356,0.6354,0.21995,0.11844,-0.00276,0.12949,0.19423,0.09181
Jahr,-0.02069,-0.05872,1.0,0.22596,0.05321,-0.04114,0.11724,0.14979,0.18461,0.05435,0.1315,0.13101
pch_sm,-0.04917,0.04589,0.22596,1.0,-0.03909,0.02833,-0.00865,-0.02861,-0.11399,-0.02351,-0.00746,-0.38013
Month_cycl_sin,-0.07751,-0.86356,0.05321,-0.03909,1.0,-0.93808,-0.25357,-0.13609,0.00274,-0.15186,-0.26425,-0.05785
Month_cycl_cos,0.03862,0.6354,-0.04114,0.02833,-0.93808,1.0,0.2372,0.12703,-0.00231,0.14359,0.27123,0.02551
MA3,0.88595,0.21995,0.11724,-0.00865,-0.25357,0.2372,1.0,0.97971,0.90866,0.95175,0.98637,0.79098
MA6,0.87656,0.11844,0.14979,-0.02861,-0.13609,0.12703,0.97971,1.0,0.94432,0.92903,0.97725,0.8335
MA12,0.853,-0.00276,0.18461,-0.11399,0.00274,-0.00231,0.90866,0.94432,1.0,0.88623,0.89372,0.9141
Lag_1,0.9461,0.12949,0.05435,-0.02351,-0.15186,0.14359,0.95175,0.92903,0.88623,1.0,0.91563,0.74605
Lag_3,0.83823,0.19423,0.1315,-0.00746,-0.26425,0.27123,0.98637,0.97725,0.89372,0.91563,1.0,0.78376
Lag_12,0.72522,0.09181,0.13101,-0.38013,-0.05785,0.02551,0.79098,0.8335,0.9141,0.74605,0.78376,1.0
