,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.60074,-0.01262,-0.09484,-0.56658,-0.60307,0.87933,0.51198,0.55223,0.89107,0.07396,0.88005
Monat,0.60074,1.0,0.0,0.01637,-0.96593,-0.99603,0.51851,-0.041,-0.00042,0.64561,-0.3175,0.5493
Jahr,-0.01262,0.0,1.0,0.15806,0.0,0.0,0.00681,0.25773,0.29119,0.00285,-0.02997,0.10999
pch_sm,-0.09484,0.01637,0.15806,1.0,0.00961,-0.02504,-0.13936,-0.14287,-0.16878,-0.10561,-0.11778,-0.18471
Month_cycl_sin,-0.56658,-0.96593,0.0,0.00961,1.0,0.93907,-0.57299,-0.03077,0.00029,-0.68295,0.25763,-0.51957
Month_cycl_cos,-0.60307,-0.99603,0.0,-0.02504,0.93907,1.0,-0.49166,0.06502,0.00045,-0.62265,0.3331,-0.55091
MA3,0.87933,0.51851,0.00681,-0.13936,-0.57299,-0.49166,1.0,0.68567,0.59177,0.95633,0.27641,0.82464
MA6,0.51198,-0.041,0.25773,-0.14287,-0.03077,0.06502,0.68567,1.0,0.91528,0.5342,0.51852,0.6394
MA12,0.55223,-0.00042,0.29119,-0.16878,0.00029,0.00045,0.59177,0.91528,1.0,0.43908,0.53426,0.71377
Lag_1,0.89107,0.64561,0.00285,-0.10561,-0.68295,-0.62265,0.95633,0.5342,0.43908,1.0,0.00806,0.81061
Lag_3,0.07396,-0.3175,-0.02997,-0.11778,0.25763,0.3331,0.27641,0.51852,0.53426,0.00806,1.0,0.1562
Lag_12,0.88005,0.5493,0.10999,-0.18471,-0.51957,-0.55091,0.82464,0.6394,0.71377,0.81061,0.1562,1.0
