,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,-0.72461,0.23006,-0.03282,-0.65011,-0.73886,0.79757,0.46471,0.46436,0.92844,0.03347,0.9332
Monat,-0.72461,1.0,0.0,0.04263,0.96593,0.99603,-0.54757,0.008,0.00405,-0.85479,0.19609,-0.66787
Jahr,0.23006,0.0,1.0,0.27602,-0.0,-0.0,0.11373,0.08907,0.29868,0.1524,0.06611,0.29933
pch_sm,-0.03282,0.04263,0.27602,1.0,0.04687,0.04051,-0.07843,-0.11889,-0.07879,-0.02957,-0.06448,-0.06275
Month_cycl_sin,-0.65011,0.96593,-0.0,0.04687,1.0,0.93907,-0.58543,-0.00684,0.00402,-0.76773,0.03447,-0.59805
Month_cycl_cos,-0.73886,0.99603,-0.0,0.04051,0.93907,1.0,-0.52597,0.01297,0.00399,-0.87131,0.24857,-0.6814
MA3,0.79757,-0.54757,0.11373,-0.07843,-0.58543,-0.52597,1.0,0.762,0.63746,0.76967,0.58039,0.74248
MA6,0.46471,0.008,0.08907,-0.11889,-0.00684,0.01297,0.762,1.0,0.83797,0.37096,0.71451,0.43276
MA12,0.46436,0.00405,0.29868,-0.07879,0.00402,0.00399,0.63746,0.83797,1.0,0.34505,0.56611,0.53037
Lag_1,0.92844,-0.85479,0.1524,-0.02957,-0.76773,-0.87131,0.76967,0.37096,0.34505,1.0,-0.02719,0.85959
Lag_3,0.03347,0.19609,0.06611,-0.06448,0.03447,0.24857,0.58039,0.71451,0.56611,-0.02719,1.0,0.03507
Lag_12,0.9332,-0.66787,0.29933,-0.06275,-0.59805,-0.6814,0.74248,0.43276,0.53037,0.85959,0.03507,1.0
