,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.20747,0.03949,-0.06158,-0.25905,0.04689,0.50068,0.46981,0.55707,0.30986,0.6053,0.87439
Monat,0.20747,1.0,-0.05393,-0.0536,-0.99615,0.96636,0.58038,0.58694,-0.00708,0.61871,0.60139,0.17451
Jahr,0.03949,-0.05393,1.0,0.08634,0.05638,-0.0443,-0.0089,0.01686,0.29533,-0.00141,-0.05025,0.20927
pch_sm,-0.06158,-0.0536,0.08634,1.0,0.05842,-0.03703,-0.11286,-0.11504,-0.13742,-0.0894,-0.13568,-0.18457
Month_cycl_sin,-0.25905,-0.99615,0.05638,0.05842,1.0,-0.94008,-0.56597,-0.57157,0.0074,-0.59049,-0.60319,-0.22
Month_cycl_cos,0.04689,0.96636,-0.0443,-0.03703,-0.94008,1.0,0.59654,0.60561,-0.00582,0.67363,0.56908,0.03328
MA3,0.50068,0.58038,-0.0089,-0.11286,-0.56597,0.59654,1.0,0.98737,0.62017,0.97264,0.95824,0.43903
MA6,0.46981,0.58694,0.01686,-0.11504,-0.57157,0.60561,0.98737,1.0,0.64137,0.96515,0.94862,0.43472
MA12,0.55707,-0.00708,0.29533,-0.13742,0.0074,-0.00582,0.62017,0.64137,1.0,0.54165,0.54671,0.72806
Lag_1,0.30986,0.61871,-0.00141,-0.0894,-0.59049,0.67363,0.97264,0.96515,0.54165,1.0,0.89033,0.27635
Lag_3,0.6053,0.60139,-0.05025,-0.13568,-0.60319,0.56908,0.95824,0.94862,0.54671,0.89033,1.0,0.52606
Lag_12,0.87439,0.17451,0.20927,-0.18457,-0.22,0.03328,0.43903,0.43472,0.72806,0.27635,0.52606,1.0
