,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.40656,-0.10905,-0.04991,-0.36568,0.28068,0.46686,0.5653,0.36062,0.02145,0.61986,0.72568
Monat,0.40656,1.0,-0.05872,-0.06697,-0.86356,0.6354,0.59285,0.39937,0.00079,-0.13037,0.71342,0.38549
Jahr,-0.10905,-0.05872,1.0,0.23521,0.05321,-0.04114,0.19531,0.2013,0.29214,-0.0021,0.20235,-0.03977
pch_sm,-0.04991,-0.06697,0.23521,1.0,0.00936,0.03168,-0.03788,-0.04856,-0.08438,-0.04907,-0.01179,-0.16205
Month_cycl_sin,-0.36568,-0.86356,0.05321,0.00936,1.0,-0.93808,-0.60897,-0.55365,-0.00045,-0.0431,-0.73975,-0.34752
Month_cycl_cos,0.28068,0.6354,-0.04114,0.03168,-0.93808,1.0,0.52526,0.57346,0.00015,0.15556,0.64268,0.26733
MA3,0.46686,0.59285,0.19531,-0.03788,-0.60897,0.52526,1.0,0.88685,0.65873,0.37649,0.91444,0.49018
MA6,0.5653,0.39937,0.2013,-0.04856,-0.55365,0.57346,0.88685,1.0,0.72861,0.52073,0.83428,0.53692
MA12,0.36062,0.00079,0.29214,-0.08438,-0.00045,0.00015,0.65873,0.72861,1.0,0.55406,0.44698,0.4998
Lag_1,0.02145,-0.13037,-0.0021,-0.04907,-0.0431,0.15556,0.37649,0.52073,0.55406,1.0,0.1101,0.04403
Lag_3,0.61986,0.71342,0.20235,-0.01179,-0.73975,0.64268,0.91444,0.83428,0.44698,0.1101,1.0,0.59469
Lag_12,0.72568,0.38549,-0.03977,-0.16205,-0.34752,0.26733,0.49018,0.53692,0.4998,0.04403,0.59469,1.0
