,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.30293,0.28159,0.02767,-0.31171,-0.29517,0.82293,0.6331,0.59579,0.93081,0.58963,0.55705
Monat,0.30293,1.0,0.0,0.04724,-0.96593,-0.99603,0.21254,-0.09426,0.00611,0.26329,-0.02508,0.24298
Jahr,0.28159,0.0,1.0,0.20162,0.0,0.0,0.35603,0.51148,0.53039,0.28855,0.38129,0.37813
pch_sm,0.02767,0.04724,0.20162,1.0,-0.02661,-0.05359,-0.19996,-0.16159,-0.25688,-0.07113,-0.33417,-0.44068
Month_cycl_sin,-0.31171,-0.96593,0.0,-0.02661,1.0,0.93907,-0.2108,0.0863,-0.00601,-0.24559,-0.00249,-0.25123
Month_cycl_cos,-0.29517,-0.99603,0.0,-0.05359,0.93907,1.0,-0.20981,0.09552,-0.00605,-0.26524,0.03417,-0.23633
MA3,0.82293,0.21254,0.35603,-0.19996,-0.2108,-0.20981,1.0,0.8486,0.8226,0.91338,0.9004,0.78603
MA6,0.6331,-0.09426,0.51148,-0.16159,0.0863,0.09552,0.8486,1.0,0.97279,0.71198,0.87511,0.81757
MA12,0.59579,0.00611,0.53039,-0.25688,-0.00601,-0.00605,0.8226,0.97279,1.0,0.66715,0.85788,0.88325
Lag_1,0.93081,0.26329,0.28855,-0.07113,-0.24559,-0.26524,0.91338,0.71198,0.66715,1.0,0.68671,0.63113
Lag_3,0.58963,-0.02508,0.38129,-0.33417,-0.00249,0.03417,0.9004,0.87511,0.85788,0.68671,1.0,0.79999
Lag_12,0.55705,0.24298,0.37813,-0.44068,-0.25123,-0.23633,0.78603,0.81757,0.88325,0.63113,0.79999,1.0
