,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,-0.24774,0.3742,-0.02696,-0.24724,-0.24403,0.8961,0.80363,0.70449,0.9298,0.60736,0.70555
Monat,-0.24774,1.0,0.0,0.08074,0.96593,0.99603,-0.18691,0.11419,0.00759,-0.39431,0.28718,-0.18729
Jahr,0.3742,0.0,1.0,0.14368,-0.0,-0.0,0.41439,0.33973,0.5158,0.39965,0.32034,0.50308
pch_sm,-0.02696,0.08074,0.14368,1.0,0.07929,0.07997,-0.13496,-0.20448,-0.2319,-0.07415,-0.14326,-0.33441
Month_cycl_sin,-0.24724,0.96593,-0.0,0.07929,1.0,0.93907,-0.20894,0.10556,0.00732,-0.34852,0.19927,-0.1866
Month_cycl_cos,-0.24403,0.99603,-0.0,0.07997,0.93907,1.0,-0.17641,0.11537,0.00757,-0.40388,0.31289,-0.1846
MA3,0.8961,-0.18691,0.41439,-0.13496,-0.20894,-0.17641,1.0,0.90159,0.73676,0.91065,0.7965,0.65211
MA6,0.80363,0.11419,0.33973,-0.20448,0.10556,0.11537,0.90159,1.0,0.7792,0.77137,0.86144,0.6017
MA12,0.70449,0.00759,0.5158,-0.2319,0.00732,0.00757,0.73676,0.7792,1.0,0.67835,0.62935,0.9092
Lag_1,0.9298,-0.39431,0.39965,-0.07415,-0.34852,-0.40388,0.91065,0.77137,0.67835,1.0,0.5102,0.67441
Lag_3,0.60736,0.28718,0.32034,-0.14326,0.19927,0.31289,0.7965,0.86144,0.62935,0.5102,1.0,0.43693
Lag_12,0.70555,-0.18729,0.50308,-0.33441,-0.1866,-0.1846,0.65211,0.6017,0.9092,0.67441,0.43693,1.0
