,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.26707,0.32638,0.08762,-0.29105,0.18475,0.77218,0.69094,0.56199,0.75165,0.67209,0.55286
Monat,0.26707,1.0,-0.05393,-0.11513,-0.99615,0.96636,0.34482,0.31468,-0.02582,0.42925,0.27283,0.18624
Jahr,0.32638,-0.05393,1.0,0.18001,0.05638,-0.0443,0.22878,0.30767,0.52247,0.23785,0.20194,0.46432
pch_sm,0.08762,-0.11513,0.18001,1.0,0.11944,-0.09733,-0.0418,-0.14095,-0.17142,0.00631,-0.10575,-0.41137
Month_cycl_sin,-0.29105,-0.99615,0.05638,0.11944,1.0,-0.94008,-0.33582,-0.30937,0.02737,-0.41103,-0.26371,-0.20399
Month_cycl_cos,0.18475,0.96636,-0.0443,-0.09733,-0.94008,1.0,0.35572,0.31609,-0.0201,0.46337,0.28732,0.12579
MA3,0.77218,0.34482,0.22878,-0.0418,-0.33582,0.35572,1.0,0.91567,0.64295,0.93667,0.96206,0.46929
MA6,0.69094,0.31468,0.30767,-0.14095,-0.30937,0.31609,0.91567,1.0,0.78975,0.81316,0.92417,0.60851
MA12,0.56199,-0.02582,0.52247,-0.17142,0.02737,-0.0201,0.64295,0.78975,1.0,0.55294,0.6657,0.84701
Lag_1,0.75165,0.42925,0.23785,0.00631,-0.41103,0.46337,0.93667,0.81316,0.55294,1.0,0.82094,0.42708
Lag_3,0.67209,0.27283,0.20194,-0.10575,-0.26371,0.28732,0.96206,0.92417,0.6657,0.82094,1.0,0.45711
Lag_12,0.55286,0.18624,0.46432,-0.41137,-0.20399,0.12579,0.46929,0.60851,0.84701,0.42708,0.45711,1.0
