,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.18272,0.2974,-0.01188,-0.12341,0.06346,0.80839,0.78038,0.78267,0.83138,0.80354,0.57707
Monat,0.18272,1.0,-0.05872,-0.01081,-0.86356,0.6354,0.32305,0.2423,0.00454,0.39899,0.23746,0.1282
Jahr,0.2974,-0.05872,1.0,0.20117,0.05321,-0.04114,0.43411,0.49172,0.52555,0.32617,0.46639,0.41515
pch_sm,-0.01188,-0.01081,0.20117,1.0,0.02904,-0.03704,0.02946,0.00262,-0.10382,-0.0218,0.05699,-0.45711
Month_cycl_sin,-0.12341,-0.86356,0.05321,0.02904,1.0,-0.93808,-0.36827,-0.29507,-0.00301,-0.40485,-0.27738,-0.08273
Month_cycl_cos,0.06346,0.6354,-0.04114,-0.03704,-0.93808,1.0,0.34201,0.2854,0.00148,0.34586,0.26163,0.03861
MA3,0.80839,0.32305,0.43411,0.02946,-0.36827,0.34201,1.0,0.96919,0.84063,0.93998,0.98306,0.62172
MA6,0.78038,0.2423,0.49172,0.00262,-0.29507,0.2854,0.96919,1.0,0.88332,0.87765,0.97514,0.63758
MA12,0.78267,0.00454,0.52555,-0.10382,-0.00301,0.00148,0.84063,0.88332,1.0,0.75334,0.85906,0.794
Lag_1,0.83138,0.39899,0.32617,-0.0218,-0.40485,0.34586,0.93998,0.87765,0.75334,1.0,0.88891,0.55479
Lag_3,0.80354,0.23746,0.46639,0.05699,-0.27738,0.26163,0.98306,0.97514,0.85906,0.88891,1.0,0.63898
Lag_12,0.57707,0.1282,0.41515,-0.45711,-0.08273,0.03861,0.62172,0.63758,0.794,0.55479,0.63898,1.0
