,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.20496,-0.03783,-0.11325,-0.22379,-0.19527,0.9422,0.81983,0.84688,0.95068,0.89507,0.86551
Monat,0.20496,1.0,0.0,-0.05351,-0.96593,-0.99603,0.17056,-0.09132,-0.00031,0.15148,0.05546,0.18254
Jahr,-0.03783,0.0,1.0,0.14151,0.0,0.0,0.04453,0.1861,0.11715,-0.02869,0.11237,0.1132
pch_sm,-0.11325,-0.05351,0.14151,1.0,0.0391,0.05762,-0.13724,-0.12866,-0.1636,-0.13287,-0.14964,-0.19985
Month_cycl_sin,-0.22379,-0.96593,0.0,0.0391,1.0,0.93907,-0.16303,0.07316,0.00028,-0.12967,-0.06415,-0.20063
Month_cycl_cos,-0.19527,-0.99603,0.0,0.05762,0.93907,1.0,-0.17048,0.09613,0.00031,-0.15661,-0.0516,-0.17346
MA3,0.9422,0.17056,0.04453,-0.13724,-0.16303,-0.17048,1.0,0.87527,0.89446,0.96446,0.96166,0.89457
MA6,0.81983,-0.09132,0.1861,-0.12866,0.07316,0.09613,0.87527,1.0,0.98425,0.81554,0.92253,0.91234
MA12,0.84688,-0.00031,0.11715,-0.1636,0.00028,0.00031,0.89446,0.98425,1.0,0.84548,0.91613,0.94535
Lag_1,0.95068,0.15148,-0.02869,-0.13287,-0.12967,-0.15661,0.96446,0.81554,0.84548,1.0,0.89006,0.84976
Lag_3,0.89507,0.05546,0.11237,-0.14964,-0.06415,-0.0516,0.96166,0.92253,0.91613,0.89006,1.0,0.88148
Lag_12,0.86551,0.18254,0.1132,-0.19985,-0.20063,-0.17346,0.89457,0.91234,0.94535,0.84976,0.88148,1.0
