,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.02921,0.05566,-0.14605,0.00633,-0.02977,0.85297,0.76086,0.88485,0.92354,0.7268,0.87738
Monat,0.02921,1.0,-0.05872,-0.04138,-0.86356,0.6354,0.33445,0.32247,-0.00725,-0.08355,0.51699,0.02098
Jahr,0.05566,-0.05872,1.0,0.12784,0.05321,-0.04114,0.1221,0.02655,0.12308,0.11865,0.08627,0.21983
pch_sm,-0.14605,-0.04138,0.12784,1.0,0.06839,-0.0763,-0.16419,-0.17088,-0.18785,-0.15513,-0.15691,-0.25557
Month_cycl_sin,0.00633,-0.86356,0.05321,0.06839,1.0,-0.93808,-0.33134,-0.42488,0.00656,0.0716,-0.53802,0.00781
Month_cycl_cos,-0.02977,0.6354,-0.04114,-0.0763,-0.93808,1.0,0.27762,0.4291,-0.00507,-0.05225,0.46872,-0.02638
MA3,0.85297,0.33445,0.1221,-0.16419,-0.33134,0.27762,1.0,0.95387,0.87015,0.85863,0.96302,0.8607
MA6,0.76086,0.32247,0.02655,-0.17088,-0.42488,0.4291,0.95387,1.0,0.80006,0.80644,0.95009,0.75426
MA12,0.88485,-0.00725,0.12308,-0.18785,0.00656,-0.00507,0.87015,0.80006,1.0,0.92357,0.73789,0.96921
Lag_1,0.92354,-0.08355,0.11865,-0.15513,0.0716,-0.05225,0.85863,0.80644,0.92357,1.0,0.71802,0.88746
Lag_3,0.7268,0.51699,0.08627,-0.15691,-0.53802,0.46872,0.96302,0.95009,0.73789,0.71802,1.0,0.72954
Lag_12,0.87738,0.02098,0.21983,-0.25557,0.00781,-0.02638,0.8607,0.75426,0.96921,0.88746,0.72954,1.0
