,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,-0.14267,-0.01404,-0.13799,0.1124,0.15083,0.77926,0.70108,0.72262,0.9277,0.60778,0.70511
Monat,-0.14267,1.0,0.0,0.03186,-0.96593,-0.99603,0.06572,-0.02074,0.00022,-0.12931,0.08732,-0.12869
Jahr,-0.01404,0.0,1.0,0.21926,0.0,0.0,0.12548,0.30318,0.25235,0.00632,0.20856,0.14324
pch_sm,-0.13799,0.03186,0.21926,1.0,-0.0222,-0.03469,-0.25947,-0.22664,-0.25258,-0.20131,-0.31336,-0.3918
Month_cycl_sin,0.1124,-0.96593,0.0,-0.0222,1.0,0.93907,-0.04844,0.0235,-0.00023,0.1544,-0.10818,0.10289
Month_cycl_cos,0.15083,-0.99603,0.0,-0.03469,0.93907,1.0,-0.07062,0.01947,-0.00022,0.11866,-0.07878,0.13555
MA3,0.77926,0.06572,0.12548,-0.25947,-0.04844,-0.07062,1.0,0.83116,0.84051,0.88316,0.91744,0.79148
MA6,0.70108,-0.02074,0.30318,-0.22664,0.0235,0.01947,0.83116,1.0,0.9912,0.73802,0.7848,0.9222
MA12,0.72262,0.00022,0.25235,-0.25258,-0.00023,-0.00022,0.84051,0.9912,1.0,0.75365,0.79157,0.93868
Lag_1,0.9277,-0.12931,0.00632,-0.20131,0.1544,0.11866,0.88316,0.73802,0.75365,1.0,0.68511,0.7216
Lag_3,0.60778,0.08732,0.20856,-0.31336,-0.10818,-0.07878,0.91744,0.7848,0.79157,0.68511,1.0,0.75742
Lag_12,0.70511,-0.12869,0.14324,-0.3918,0.10289,0.13555,0.79148,0.9222,0.93868,0.7216,0.75742,1.0
