,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,-0.07761,0.06592,-0.12862,-0.07919,-0.07585,0.98872,0.9741,0.81566,0.97209,0.93242,0.82015
Monat,-0.07761,1.0,0.0,0.01465,0.96593,0.99603,-0.14745,0.01738,0.00099,-0.18629,0.06825,-0.07044
Jahr,0.06592,0.0,1.0,0.18905,-0.0,-0.0,0.0479,0.01697,0.25684,0.05447,0.03356,0.24821
pch_sm,-0.12862,0.01465,0.18905,1.0,0.01675,0.0137,-0.17701,-0.18929,-0.23027,-0.15812,-0.1764,-0.29407
Month_cycl_sin,-0.07919,0.96593,-0.0,0.01675,1.0,0.93907,-0.15781,0.01964,0.001,-0.15892,0.00011,-0.07161
Month_cycl_cos,-0.07585,0.99603,-0.0,0.0137,0.93907,1.0,-0.14158,0.01633,0.00098,-0.19277,0.09061,-0.06894
MA3,0.98872,-0.14745,0.0479,-0.17701,-0.15781,-0.14158,1.0,0.9671,0.80989,0.97937,0.92991,0.81895
MA6,0.9741,0.01738,0.01697,-0.18929,0.01964,0.01633,0.9671,1.0,0.82389,0.96464,0.92094,0.79758
MA12,0.81566,0.00099,0.25684,-0.23027,0.001,0.00098,0.80989,0.82389,1.0,0.80656,0.76454,0.96865
Lag_1,0.97209,-0.18629,0.05447,-0.15812,-0.15892,-0.19277,0.97937,0.96464,0.80656,1.0,0.86456,0.80486
Lag_3,0.93242,0.06825,0.03356,-0.1764,0.00011,0.09061,0.92991,0.92094,0.76454,0.86456,1.0,0.76762
Lag_12,0.82015,-0.07044,0.24821,-0.29407,-0.07161,-0.06894,0.81895,0.79758,0.96865,0.80486,0.76762,1.0
