,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.06622,0.03236,-0.13741,-0.08784,-0.00013,0.84116,0.81364,0.74992,0.79377,0.79631,0.8236
Monat,0.06622,1.0,-0.05393,-0.07523,-0.99615,0.96636,0.19364,0.16852,-0.01069,0.39909,-0.15672,0.05661
Jahr,0.03236,-0.05393,1.0,0.21157,0.05638,-0.0443,-0.01533,0.07491,0.25608,0.00874,-0.02934,0.20853
pch_sm,-0.13741,-0.07523,0.21157,1.0,0.07722,-0.06602,-0.15271,-0.20466,-0.22889,-0.13633,-0.15604,-0.29661
Month_cycl_sin,-0.08784,-0.99615,0.05638,0.07722,1.0,-0.94008,-0.18474,-0.16639,0.01125,-0.39241,0.1647,-0.07527
Month_cycl_cos,-0.00013,0.96636,-0.0443,-0.06602,-0.94008,1.0,0.21106,0.1672,-0.00857,0.40074,-0.1263,-0.00065
MA3,0.84116,0.19364,-0.01533,-0.15271,-0.18474,0.21106,1.0,0.92536,0.76422,0.94655,0.90143,0.6865
MA6,0.81364,0.16852,0.07491,-0.20466,-0.16639,0.1672,0.92536,1.0,0.84747,0.88211,0.8388,0.76985
MA12,0.74992,-0.01069,0.25608,-0.22889,0.01125,-0.00857,0.76422,0.84747,1.0,0.69151,0.75043,0.93153
Lag_1,0.79377,0.39909,0.00874,-0.13633,-0.39241,0.40074,0.94655,0.88211,0.69151,1.0,0.72004,0.65103
Lag_3,0.79631,-0.15672,-0.02934,-0.15604,0.1647,-0.1263,0.90143,0.8388,0.75043,0.72004,1.0,0.65561
Lag_12,0.8236,0.05661,0.20853,-0.29661,-0.07527,-0.00065,0.6865,0.76985,0.93153,0.65103,0.65561,1.0
