,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.08213,0.10904,-0.12763,-0.00566,-0.04775,0.69519,0.7112,0.73484,0.69421,0.72509,0.55763
Monat,0.08213,1.0,-0.05872,0.04544,-0.86356,0.6354,0.09202,0.12093,-0.00722,0.01564,0.1075,0.04713
Jahr,0.10904,-0.05872,1.0,0.16116,0.05321,-0.04114,0.2376,0.19885,0.24969,0.1922,0.1863,0.31508
pch_sm,-0.12763,0.04544,0.16116,1.0,-0.04291,0.0345,-0.15561,-0.19709,-0.23307,-0.13717,-0.18215,-0.41684
Month_cycl_sin,-0.00566,-0.86356,0.05321,-0.04291,1.0,-0.93808,-0.09764,-0.14933,0.00673,-0.03186,-0.12135,0.00771
Month_cycl_cos,-0.04775,0.6354,-0.04114,0.0345,-0.93808,1.0,0.0863,0.14561,-0.00535,0.03805,0.11198,-0.04419
MA3,0.69519,0.09202,0.2376,-0.15561,-0.09764,0.0863,1.0,0.98761,0.9092,0.89094,0.97302,0.65364
MA6,0.7112,0.12093,0.19885,-0.19709,-0.14933,0.14561,0.98761,1.0,0.92122,0.86128,0.9916,0.6802
MA12,0.73484,-0.00722,0.24969,-0.23307,0.00673,-0.00535,0.9092,0.92122,1.0,0.78284,0.926,0.83918
Lag_1,0.69421,0.01564,0.1922,-0.13717,-0.03186,0.03805,0.89094,0.86128,0.78284,1.0,0.82438,0.50649
Lag_3,0.72509,0.1075,0.1863,-0.18215,-0.12135,0.11198,0.97302,0.9916,0.926,0.82438,1.0,0.68467
Lag_12,0.55763,0.04713,0.31508,-0.41684,0.00771,-0.04419,0.65364,0.6802,0.83918,0.50649,0.68467,1.0
