,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.50499,0.10918,-0.0616,-0.52074,-0.49166,0.92226,-0.04615,0.53354,0.91562,0.26146,0.85187
Monat,0.50499,1.0,0.0,-0.0077,-0.96593,-0.99603,0.46955,-0.44716,0.0006,0.49844,-0.11919,0.47674
Jahr,0.10918,0.0,1.0,0.10472,0.0,0.0,0.23462,0.19308,0.1803,0.16376,0.59628,0.14662
pch_sm,-0.0616,-0.0077,0.10472,1.0,0.05604,-0.00903,-0.05039,-0.07121,-0.09382,-0.05437,0.00873,-0.09292
Month_cycl_sin,-0.52074,-0.96593,0.0,0.05604,1.0,0.93907,-0.51723,0.36014,-0.00066,-0.54611,0.09961,-0.49347
Month_cycl_cos,-0.49166,-0.99603,0.0,-0.00903,0.93907,1.0,-0.4458,0.47006,-0.00058,-0.47424,0.12405,-0.46352
MA3,0.92226,0.46955,0.23462,-0.05039,-0.51723,-0.4458,1.0,0.05844,0.49852,0.99189,0.37926,0.84781
MA6,-0.04615,-0.44716,0.19308,-0.07121,0.36014,0.47006,0.05844,1.0,0.59697,-0.01241,0.66326,-0.03606
MA12,0.53354,0.0006,0.1803,-0.09382,-0.00066,-0.00058,0.49852,0.59697,1.0,0.44538,0.61975,0.58659
Lag_1,0.91562,0.49844,0.16376,-0.05437,-0.54611,-0.47424,0.99189,-0.01241,0.44538,1.0,0.27424,0.84924
Lag_3,0.26146,-0.11919,0.59628,0.00873,0.09961,0.12405,0.37926,0.66326,0.61975,0.27424,1.0,0.2438
Lag_12,0.85187,0.47674,0.14662,-0.09292,-0.49347,-0.46352,0.84781,-0.03606,0.58659,0.84924,0.2438,1.0
