,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,-0.5427,0.08268,0.02764,-0.45821,-0.56324,0.63094,0.42303,0.4742,0.95188,0.11295,0.90382
Monat,-0.5427,1.0,0.0,0.15913,0.96593,0.99603,-0.18828,0.05335,0.00222,-0.54794,0.27753,-0.51537
Jahr,0.08268,0.0,1.0,0.17864,-0.0,-0.0,0.04755,0.06017,0.18438,0.04288,0.03934,0.12901
pch_sm,0.02764,0.15913,0.17864,1.0,0.1588,0.15674,0.02182,0.01999,0.03007,0.01358,0.0207,-0.14372
Month_cycl_sin,-0.45821,0.96593,-0.0,0.1588,1.0,0.93907,-0.20551,0.04316,0.002,-0.50364,0.24243,-0.43419
Month_cycl_cos,-0.56324,0.99603,-0.0,0.15674,0.93907,1.0,-0.17941,0.05602,0.00226,-0.55458,0.28524,-0.5352
MA3,0.63094,-0.18828,0.04755,0.02182,-0.20551,-0.17941,1.0,0.93865,0.89289,0.78809,0.79146,0.58032
MA6,0.42303,0.05335,0.06017,0.01999,0.04316,0.05602,0.93865,1.0,0.93365,0.56897,0.94219,0.38729
MA12,0.4742,0.00222,0.18438,0.03007,0.002,0.00226,0.89289,0.93365,1.0,0.59172,0.85249,0.49487
Lag_1,0.95188,-0.54794,0.04288,0.01358,-0.50364,-0.55458,0.78809,0.56897,0.59172,1.0,0.26919,0.87101
Lag_3,0.11295,0.27753,0.03934,0.0207,0.24243,0.28524,0.79146,0.94219,0.85249,0.26919,1.0,0.10605
Lag_12,0.90382,-0.51537,0.12901,-0.14372,-0.43419,-0.5352,0.58032,0.38729,0.49487,0.87101,0.10605,1.0
