,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.16011,0.573,0.09389,-0.149,0.11817,0.60294,0.63717,0.62557,0.94528,0.57351,0.87183
Monat,0.16011,1.0,-0.05872,-0.0518,-0.86356,0.6354,0.59194,0.19984,0.00065,0.12592,0.59741,0.12391
Jahr,0.573,-0.05872,1.0,0.06693,0.05321,-0.04114,0.06922,0.1069,0.18084,0.56897,0.04641,0.59522
pch_sm,0.09389,-0.0518,0.06693,1.0,0.03636,-0.02009,-0.01603,-0.06428,-0.07151,0.0115,-0.01573,-0.20336
Month_cycl_sin,-0.149,-0.86356,0.05321,0.03636,1.0,-0.93808,-0.5593,-0.25917,-0.00057,-0.16077,-0.56586,-0.11173
Month_cycl_cos,0.11817,0.6354,-0.04114,-0.02009,-0.93808,1.0,0.44981,0.25959,0.00042,0.15969,0.4561,0.08597
MA3,0.60294,0.59194,0.06922,-0.01603,-0.5593,0.44981,1.0,0.71441,0.48199,0.54529,0.99899,0.49742
MA6,0.63717,0.19984,0.1069,-0.06428,-0.25917,0.25959,0.71441,1.0,0.91034,0.67109,0.71261,0.56464
MA12,0.62557,0.00065,0.18084,-0.07151,-0.00057,0.00042,0.48199,0.91034,1.0,0.65253,0.47435,0.58389
Lag_1,0.94528,0.12592,0.56897,0.0115,-0.16077,0.15969,0.54529,0.67109,0.65253,1.0,0.5186,0.88378
Lag_3,0.57351,0.59741,0.04641,-0.01573,-0.56586,0.4561,0.99899,0.71261,0.47435,0.5186,1.0,0.46838
Lag_12,0.87183,0.12391,0.59522,-0.20336,-0.11173,0.08597,0.49742,0.56464,0.58389,0.88378,0.46838,1.0
