,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.44964,0.02806,-0.0994,-0.43655,-0.4471,0.92514,0.28183,0.6288,0.9426,0.38216,0.78862
Monat,0.44964,1.0,0.0,0.01567,-0.96593,-0.99603,0.46028,-0.31787,0.00119,0.5096,-0.06071,0.4136
Jahr,0.02806,0.0,1.0,0.0974,0.0,0.0,0.19224,0.2193,0.14312,0.08119,0.45639,0.09781
pch_sm,-0.0994,0.01567,0.0974,1.0,0.03234,-0.03192,-0.11792,-0.1294,-0.12368,-0.09484,-0.15841,-0.13528
Month_cycl_sin,-0.43655,-0.96593,0.0,0.03234,1.0,0.93907,-0.48741,0.26631,-0.00122,-0.5329,0.01884,-0.4023
Month_cycl_cos,-0.4471,-0.99603,0.0,-0.03192,0.93907,1.0,-0.44374,0.33061,-0.00116,-0.4936,0.07414,-0.411
MA3,0.92514,0.46028,0.19224,-0.11792,-0.48741,-0.44374,1.0,0.382,0.634,0.97486,0.57127,0.80212
MA6,0.28183,-0.31787,0.2193,-0.1294,0.26631,0.33061,0.382,1.0,0.83271,0.23443,0.83557,0.35988
MA12,0.6288,0.00119,0.14312,-0.12368,-0.00122,-0.00116,0.634,0.83271,1.0,0.53407,0.74684,0.75447
Lag_1,0.9426,0.5096,0.08119,-0.09484,-0.5329,-0.4936,0.97486,0.23443,0.53407,1.0,0.39308,0.76659
Lag_3,0.38216,-0.06071,0.45639,-0.15841,0.01884,0.07414,0.57127,0.83557,0.74684,0.39308,1.0,0.51134
Lag_12,0.78862,0.4136,0.09781,-0.13528,-0.4023,-0.411,0.80212,0.35988,0.75447,0.76659,0.51134,1.0
