,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,-0.52793,0.00504,0.07265,-0.49023,-0.53261,0.74321,0.5642,0.58779,0.95004,0.42589,0.84696
Monat,-0.52793,1.0,0.0,0.02281,0.96593,0.99603,-0.11606,0.07583,0.00126,-0.42233,0.19813,-0.49549
Jahr,0.00504,0.0,1.0,0.19271,-0.0,-0.0,-0.00638,-0.01321,0.1454,-0.00049,-0.00839,0.08376
pch_sm,0.07265,0.02281,0.19271,1.0,0.00895,0.02721,0.15051,0.09573,0.05658,0.13068,0.12223,-0.15876
Month_cycl_sin,-0.49023,0.96593,-0.0,0.00895,1.0,0.93907,-0.13088,0.06382,0.00134,-0.40838,0.17546,-0.45915
Month_cycl_cos,-0.53261,0.99603,-0.0,0.02721,0.93907,1.0,-0.10915,0.07878,0.00122,-0.4205,0.20281,-0.50022
MA3,0.74321,-0.11606,-0.00638,0.15051,-0.13088,-0.10915,1.0,0.9605,0.88431,0.89725,0.91108,0.62313
MA6,0.5642,0.07583,-0.01321,0.09573,0.06382,0.07878,0.9605,1.0,0.9029,0.75447,0.98104,0.46393
MA12,0.58779,0.00126,0.1454,0.05658,0.00134,0.00122,0.88431,0.9029,1.0,0.73771,0.86684,0.6234
Lag_1,0.95004,-0.42233,-0.00049,0.13068,-0.40838,-0.4205,0.89725,0.75447,0.73771,1.0,0.63938,0.81046
Lag_3,0.42589,0.19813,-0.00839,0.12223,0.17546,0.20281,0.91108,0.98104,0.86684,0.63938,1.0,0.34187
Lag_12,0.84696,-0.49549,0.08376,-0.15876,-0.45915,-0.50022,0.62313,0.46393,0.6234,0.81046,0.34187,1.0
