,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.19473,-0.01064,0.05444,-0.19903,0.17338,0.93061,0.9012,0.83208,0.96248,0.82141,0.8492
Monat,0.19473,1.0,-0.05393,-0.10014,-0.99615,0.96636,0.36342,0.39189,-0.00821,0.3245,0.44609,0.17999
Jahr,-0.01064,-0.05393,1.0,0.19922,0.05638,-0.0443,-0.03062,0.01338,0.14324,-0.02775,-0.03122,0.10165
pch_sm,0.05444,-0.10014,0.19922,1.0,0.10461,-0.08253,-0.04378,-0.0618,-0.1125,-0.01787,-0.09309,-0.19499
Month_cycl_sin,-0.19903,-0.99615,0.05638,0.10461,1.0,-0.94008,-0.35941,-0.38677,0.00866,-0.32095,-0.44319,-0.18394
Month_cycl_cos,0.17338,0.96636,-0.0443,-0.08253,-0.94008,1.0,0.35885,0.38927,-0.00651,0.3203,0.43454,0.16032
MA3,0.93061,0.36342,-0.03062,-0.04378,-0.35941,0.35885,1.0,0.99147,0.75457,0.99039,0.96437,0.80501
MA6,0.9012,0.39189,0.01338,-0.0618,-0.38677,0.38927,0.99147,1.0,0.75902,0.97436,0.97088,0.8085
MA12,0.83208,-0.00821,0.14324,-0.1125,0.00866,-0.00651,0.75457,0.75902,1.0,0.77916,0.65708,0.94879
Lag_1,0.96248,0.3245,-0.02775,-0.01787,-0.32095,0.3203,0.99039,0.97436,0.77916,1.0,0.92268,0.8266
Lag_3,0.82141,0.44609,-0.03122,-0.09309,-0.44319,0.43454,0.96437,0.97088,0.65708,0.92268,1.0,0.72734
Lag_12,0.8492,0.17999,0.10165,-0.19499,-0.18394,0.16032,0.80501,0.8085,0.94879,0.8266,0.72734,1.0
