,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.22612,0.38374,0.13257,-0.14993,0.07425,0.71604,0.72981,0.73564,0.85036,0.66431,0.59753
Monat,0.22612,1.0,-0.05872,0.08738,-0.86356,0.6354,0.518,0.19748,-0.00286,0.25035,0.49096,0.17729
Jahr,0.38374,-0.05872,1.0,0.16275,0.05321,-0.04114,0.04958,0.07271,0.14295,0.35038,0.01036,0.4748
pch_sm,0.13257,0.08738,0.16275,1.0,-0.06802,0.04413,0.13078,0.1522,0.09467,0.06217,0.14192,-0.33602
Month_cycl_sin,-0.14993,-0.86356,0.05321,-0.06802,1.0,-0.93808,-0.54315,-0.24296,0.00272,-0.29928,-0.54002,-0.11762
Month_cycl_cos,0.07425,0.6354,-0.04114,0.04413,-0.93808,1.0,0.47588,0.23639,-0.00221,0.28632,0.48967,0.05831
MA3,0.71604,0.518,0.04958,0.13078,-0.54315,0.47588,1.0,0.84087,0.6162,0.77542,0.9948,0.47702
MA6,0.72981,0.19748,0.07271,0.1522,-0.24296,0.23639,0.84087,1.0,0.91143,0.80576,0.84793,0.52079
MA12,0.73564,-0.00286,0.14295,0.09467,0.00272,-0.00221,0.6162,0.91143,1.0,0.73876,0.6089,0.60506
Lag_1,0.85036,0.25035,0.35038,0.06217,-0.29928,0.28632,0.77542,0.80576,0.73876,1.0,0.75065,0.56776
Lag_3,0.66431,0.49096,0.01036,0.14192,-0.54002,0.48967,0.9948,0.84793,0.6089,0.75065,1.0,0.43401
Lag_12,0.59753,0.17729,0.4748,-0.33602,-0.11762,0.05831,0.47702,0.52079,0.60506,0.56776,0.43401,1.0
