,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.33724,0.3981,0.02338,-0.33721,-0.33196,0.66232,0.26057,0.12674,0.80248,0.41408,0.45089
Monat,0.33724,1.0,0.0,0.02792,-0.96593,-0.99603,0.28761,-0.32155,0.00243,0.27495,0.18266,0.26492
Jahr,0.3981,0.0,1.0,0.11931,0.0,0.0,0.51633,0.63541,0.35553,0.39555,0.54177,0.49507
pch_sm,0.02338,0.02792,0.11931,1.0,0.01319,-0.04162,-0.10408,-0.05827,-0.06144,-0.05429,-0.12311,-0.32243
Month_cycl_sin,-0.33721,-0.96593,0.0,0.01319,1.0,0.93907,-0.27611,0.27062,-0.00253,-0.27202,-0.1728,-0.26764
Month_cycl_cos,-0.33196,-0.99603,0.0,-0.04162,0.93907,1.0,-0.28705,0.33401,-0.00236,-0.27164,-0.18318,-0.25983
MA3,0.66232,0.28761,0.51633,-0.10408,-0.27611,-0.28705,1.0,0.52732,0.08111,0.83585,0.88022,0.61536
MA6,0.26057,-0.32155,0.63541,-0.05827,0.27062,0.33401,0.52732,1.0,0.57712,0.30846,0.61691,0.56662
MA12,0.12674,0.00243,0.35553,-0.06144,-0.00253,-0.00236,0.08111,0.57712,1.0,0.04883,0.06874,0.55941
Lag_1,0.80248,0.27495,0.39555,-0.05429,-0.27202,-0.27164,0.83585,0.30846,0.04883,1.0,0.5243,0.48386
Lag_3,0.41408,0.18266,0.54177,-0.12311,-0.1728,-0.18318,0.88022,0.61691,0.06874,0.5243,1.0,0.57987
Lag_12,0.45089,0.26492,0.49507,-0.32243,-0.26764,-0.25983,0.61536,0.56662,0.55941,0.48386,0.57987,1.0
