,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,-0.71461,0.12784,-0.05548,-0.63587,-0.73048,0.49944,0.29777,0.29626,0.96404,-0.32378,0.81492
Monat,-0.71461,1.0,0.0,0.04458,0.96593,0.99603,-0.15248,0.09615,0.00138,-0.69962,0.63467,-0.632
Jahr,0.12784,0.0,1.0,0.05867,-0.0,-0.0,-0.03174,0.02012,0.37919,-0.00526,-0.02632,0.26611
pch_sm,-0.05548,0.04458,0.05867,1.0,0.03394,0.04754,-0.18626,-0.16872,-0.14286,-0.13907,-0.08576,-0.24505
Month_cycl_sin,-0.63587,0.96593,-0.0,0.03394,1.0,0.93907,-0.18096,0.08157,0.00166,-0.61744,0.62651,-0.56257
Month_cycl_cos,-0.73048,0.99603,-0.0,0.04754,0.93907,1.0,-0.14031,0.09965,0.00126,-0.7169,0.62752,-0.64595
MA3,0.49944,-0.15248,-0.03174,-0.18626,-0.18096,-0.14031,1.0,0.94434,0.66298,0.58723,0.49978,0.41367
MA6,0.29777,0.09615,0.02012,-0.16872,0.08157,0.09965,0.94434,1.0,0.69539,0.37358,0.73462,0.23197
MA12,0.29626,0.00138,0.37919,-0.14286,0.00166,0.00126,0.66298,0.69539,1.0,0.33476,0.45783,0.53391
Lag_1,0.96404,-0.69962,-0.00526,-0.13907,-0.61744,-0.7169,0.58723,0.37358,0.33476,1.0,-0.27328,0.83098
Lag_3,-0.32378,0.63467,-0.02632,-0.08576,0.62651,0.62752,0.49978,0.73462,0.45783,-0.27328,1.0,-0.3012
Lag_12,0.81492,-0.632,0.26611,-0.24505,-0.56257,-0.64595,0.41367,0.23197,0.53391,0.83098,-0.3012,1.0
