,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,-0.06793,0.50467,0.40664,0.10642,-0.1163,0.23746,-0.23907,-0.07355,0.79826,0.02998,0.54112
Monat,-0.06793,1.0,-0.05872,-0.00197,-0.86356,0.6354,0.68592,0.22475,-0.00848,0.11152,0.7116,-0.06723
Jahr,0.50467,-0.05872,1.0,0.13142,0.05321,-0.04114,0.33913,0.16213,0.3585,0.61536,0.14564,0.61981
pch_sm,0.40664,-0.00197,0.13142,1.0,0.02491,-0.03679,0.09915,-0.04646,-0.03682,0.30974,0.01251,-0.26285
Month_cycl_sin,0.10642,-0.86356,0.05321,0.02491,1.0,-0.93808,-0.68036,-0.29,0.00813,-0.04001,-0.72607,0.09546
Month_cycl_cos,-0.1163,0.6354,-0.04114,-0.03679,-0.93808,1.0,0.57064,0.28969,-0.00663,-0.01535,0.623,-0.1
MA3,0.23746,0.68592,0.33913,0.09915,-0.68036,0.57064,1.0,0.64382,0.40983,0.52153,0.95562,0.26675
MA6,-0.23907,0.22475,0.16213,-0.04646,-0.29,0.28969,0.64382,1.0,0.83615,0.1349,0.6779,-0.01562
MA12,-0.07355,-0.00848,0.3585,-0.03682,0.00813,-0.00663,0.40983,0.83615,1.0,0.21435,0.35321,0.26557
Lag_1,0.79826,0.11152,0.61536,0.30974,-0.04001,-0.01535,0.52153,0.1349,0.21435,1.0,0.29784,0.61412
Lag_3,0.02998,0.7116,0.14564,0.01251,-0.72607,0.623,0.95562,0.6779,0.35321,0.29784,1.0,0.06021
Lag_12,0.54112,-0.06723,0.61981,-0.26285,0.09546,-0.1,0.26675,-0.01562,0.26557,0.61412,0.06021,1.0
