,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.20924,0.1506,-0.00439,-0.19826,-0.20973,0.90587,0.74006,0.73261,0.96073,0.74447,0.70342
Monat,0.20924,1.0,0.0,0.04093,-0.96593,-0.99603,0.26927,-0.11221,0.00518,0.2876,0.0987,0.18651
Jahr,0.1506,0.0,1.0,0.20082,0.0,0.0,0.27001,0.39154,0.32933,0.18394,0.35547,0.23639
pch_sm,-0.00439,0.04093,0.20082,1.0,-0.03085,-0.04375,-0.16,-0.10864,-0.20072,-0.09769,-0.23664,-0.34188
Month_cycl_sin,-0.19826,-0.96593,0.0,-0.03085,1.0,0.93907,-0.26809,0.09956,-0.00508,-0.2791,-0.12115,-0.17751
Month_cycl_cos,-0.20973,-0.99603,0.0,-0.04375,0.93907,1.0,-0.26545,0.11479,-0.00513,-0.28601,-0.08943,-0.18668
MA3,0.90587,0.26927,0.27001,-0.16,-0.26809,-0.26545,1.0,0.84371,0.85887,0.95794,0.92267,0.85646
MA6,0.74006,-0.11221,0.39154,-0.10864,0.09956,0.11479,0.84371,1.0,0.97511,0.75022,0.89806,0.84971
MA12,0.73261,0.00518,0.32933,-0.20072,-0.00508,-0.00513,0.85887,0.97511,1.0,0.75412,0.91497,0.93246
Lag_1,0.96073,0.2876,0.18394,-0.09769,-0.2791,-0.28601,0.95794,0.75022,0.75412,1.0,0.79365,0.75488
Lag_3,0.74447,0.0987,0.35547,-0.23664,-0.12115,-0.08943,0.92267,0.89806,0.91497,0.79365,1.0,0.89319
Lag_12,0.70342,0.18651,0.23639,-0.34188,-0.17751,-0.18668,0.85646,0.84971,0.93246,0.75488,0.89319,1.0
