,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.31728,0.08123,-0.04161,-0.31339,0.31442,0.97188,0.92605,0.74693,0.98142,0.93268,0.65416
Monat,0.31728,1.0,-0.05393,-0.14106,-0.99615,0.96636,0.17421,0.22521,-0.01733,0.18935,0.19363,0.26559
Jahr,0.08123,-0.05393,1.0,0.13797,0.05638,-0.0443,0.09013,0.16763,0.32186,0.08091,0.09403,0.25071
pch_sm,-0.04161,-0.14106,0.13797,1.0,0.14541,-0.12197,-0.07001,-0.11721,-0.15468,-0.04692,-0.09827,-0.29971
Month_cycl_sin,-0.31339,-0.99615,0.05638,0.14541,1.0,-0.94008,-0.17179,-0.22301,0.01837,-0.18376,-0.19303,-0.26212
Month_cycl_cos,0.31442,0.96636,-0.0443,-0.12197,-0.94008,1.0,0.17347,0.22154,-0.01348,0.19723,0.18668,0.26381
MA3,0.97188,0.17421,0.09013,-0.07001,-0.17179,0.17347,1.0,0.96365,0.80488,0.99061,0.98285,0.66158
MA6,0.92605,0.22521,0.16763,-0.11721,-0.22301,0.22154,0.96365,1.0,0.86951,0.94339,0.97027,0.76076
MA12,0.74693,-0.01733,0.32186,-0.15468,0.01837,-0.01348,0.80488,0.86951,1.0,0.78752,0.80367,0.90588
Lag_1,0.98142,0.18935,0.08091,-0.04692,-0.18376,0.19723,0.99061,0.94339,0.78752,1.0,0.95382,0.64856
Lag_3,0.93268,0.19363,0.09403,-0.09827,-0.19303,0.18668,0.98285,0.97027,0.80367,0.95382,1.0,0.6722
Lag_12,0.65416,0.26559,0.25071,-0.29971,-0.26212,0.26381,0.66158,0.76076,0.90588,0.64856,0.6722,1.0
