,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,-0.81779,0.32348,0.11343,-0.74775,-0.82905,0.47556,0.14308,0.28547,0.89144,-0.57466,0.84499
Monat,-0.81779,1.0,0.0,-0.01306,0.96593,0.99603,-0.37809,0.08826,0.00879,-0.81901,0.73624,-0.71504
Jahr,0.32348,0.0,1.0,0.13768,-0.0,-0.0,0.25295,0.33537,0.6175,0.12389,0.14793,0.42781
pch_sm,0.11343,-0.01306,0.13768,1.0,-0.0165,-0.01167,-0.04561,-0.05052,-0.04486,-0.01238,-0.02881,-0.20697
Month_cycl_sin,-0.74775,0.96593,-0.0,-0.0165,1.0,0.93907,-0.41947,0.06781,0.00826,-0.7187,0.68907,-0.65319
Month_cycl_cos,-0.82905,0.99603,-0.0,-0.01167,0.93907,1.0,-0.35794,0.0939,0.00884,-0.84064,0.74091,-0.72509
MA3,0.47556,-0.37809,0.25295,-0.04561,-0.41947,-0.35794,1.0,0.8425,0.55196,0.59568,0.237,0.38552
MA6,0.14308,0.08826,0.33537,-0.05052,0.06781,0.0939,0.8425,1.0,0.6865,0.23191,0.65799,0.09902
MA12,0.28547,0.00879,0.6175,-0.04486,0.00826,0.00884,0.55196,0.6865,1.0,0.21474,0.37884,0.47026
Lag_1,0.89144,-0.81901,0.12389,-0.01238,-0.7187,-0.84064,0.59568,0.23191,0.21474,1.0,-0.50542,0.76155
Lag_3,-0.57466,0.73624,0.14793,-0.02881,0.68907,0.74091,0.237,0.65799,0.37884,-0.50542,1.0,-0.51549
Lag_12,0.84499,-0.71504,0.42781,-0.20697,-0.65319,-0.72509,0.38552,0.09902,0.47026,0.76155,-0.51549,1.0
