,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.7316,0.1244,-0.08888,-0.73543,0.68753,0.87587,0.76472,0.32033,0.9033,0.55119,0.80423
Monat,0.7316,1.0,-0.05393,-0.12648,-0.99615,0.96636,0.67039,0.6572,-0.02412,0.79014,0.36391,0.62313
Jahr,0.1244,-0.05393,1.0,0.19319,0.05638,-0.0443,0.2545,0.34496,0.62303,0.16172,0.28894,0.27651
pch_sm,-0.08888,-0.12648,0.19319,1.0,0.13304,-0.10157,-0.05954,-0.07139,-0.18991,-0.07164,-0.04974,-0.3027
Month_cycl_sin,-0.73543,-0.99615,0.05638,0.13304,1.0,-0.94008,-0.65211,-0.64147,0.02575,-0.76638,-0.37281,-0.62613
Month_cycl_cos,0.68753,0.96636,-0.0443,-0.10157,-0.94008,1.0,0.69385,0.67379,-0.01823,0.82428,0.32147,0.58634
MA3,0.87587,0.67039,0.2545,-0.05954,-0.65211,0.69385,1.0,0.93797,0.43805,0.96338,0.76256,0.70845
MA6,0.76472,0.6572,0.34496,-0.07139,-0.64147,0.67379,0.93797,1.0,0.49896,0.89174,0.75873,0.66607
MA12,0.32033,-0.02412,0.62303,-0.18991,0.02575,-0.01823,0.43805,0.49896,1.0,0.31408,0.46388,0.6284
Lag_1,0.9033,0.79014,0.16172,-0.07164,-0.76638,0.82428,0.96338,0.89174,0.31408,1.0,0.62278,0.73608
Lag_3,0.55119,0.36391,0.28894,-0.04974,-0.37281,0.32147,0.76256,0.75873,0.46388,0.62278,1.0,0.44572
Lag_12,0.80423,0.62313,0.27651,-0.3027,-0.62613,0.58634,0.70845,0.66607,0.6284,0.73608,0.44572,1.0
