,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.01019,0.29665,0.2083,0.00795,-0.01917,0.61089,-0.06726,0.09261,0.93737,0.2949,0.80288
Monat,0.01019,1.0,-0.05872,-0.00587,-0.86356,0.6354,0.6166,0.37411,0.00578,-0.00731,0.76126,0.00139
Jahr,0.29665,-0.05872,1.0,0.14243,0.05321,-0.04114,0.43014,0.44018,0.61822,0.38083,0.32228,0.4048
pch_sm,0.2083,-0.00587,0.14243,1.0,0.02195,-0.02958,0.17915,0.12231,0.11025,0.19911,0.11722,-0.20073
Month_cycl_sin,0.00795,-0.86356,0.05321,0.02195,1.0,-0.93808,-0.62429,-0.48548,-0.00449,0.02254,-0.81199,0.01416
Month_cycl_cos,-0.01917,0.6354,-0.04114,-0.02958,-0.93808,1.0,0.5324,0.48642,0.00291,-0.02949,0.72045,-0.02263
MA3,0.61089,0.6166,0.43014,0.17915,-0.62429,0.5324,1.0,0.60808,0.42775,0.65083,0.91832,0.55727
MA6,-0.06726,0.37411,0.44018,0.12231,-0.48548,0.48642,0.60808,1.0,0.76981,0.07092,0.73448,-0.00184
MA12,0.09261,0.00578,0.61822,0.11025,-0.00449,0.00291,0.42775,0.76981,1.0,0.21404,0.39236,0.24513
Lag_1,0.93737,-0.00731,0.38083,0.19911,0.02254,-0.02949,0.65083,0.07092,0.21404,1.0,0.32849,0.80686
Lag_3,0.2949,0.76126,0.32228,0.11722,-0.81199,0.72045,0.91832,0.73448,0.39236,0.32849,1.0,0.26548
Lag_12,0.80288,0.00139,0.4048,-0.20073,0.01416,-0.02263,0.55727,-0.00184,0.24513,0.80686,0.26548,1.0
