,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.2921,0.04805,-0.13562,-0.29108,-0.28788,0.84379,0.54668,0.58123,0.93905,0.64529,0.58572
Monat,0.2921,1.0,0.0,0.16006,-0.96593,-0.99603,0.30606,-0.15631,0.00266,0.33317,0.10169,0.2433
Jahr,0.04805,0.0,1.0,0.13622,0.0,0.0,0.15513,0.31102,0.25687,0.058,0.2092,0.17782
pch_sm,-0.13562,0.16006,0.13622,1.0,-0.1775,-0.15156,-0.26133,-0.22196,-0.24986,-0.21786,-0.31785,-0.30788
Month_cycl_sin,-0.29108,-0.96593,0.0,-0.1775,1.0,0.93907,-0.30016,0.14018,-0.00265,-0.32146,-0.11471,-0.24348
Month_cycl_cos,-0.28788,-0.99603,0.0,-0.15156,0.93907,1.0,-0.30329,0.1594,-0.00262,-0.33197,-0.09562,-0.23943
MA3,0.84379,0.30606,0.15513,-0.26133,-0.30016,-0.30329,1.0,0.76273,0.79582,0.90946,0.90816,0.75772
MA6,0.54668,-0.15631,0.31102,-0.22196,0.14018,0.1594,0.76273,1.0,0.96155,0.59565,0.83351,0.74977
MA12,0.58123,0.00266,0.25687,-0.24986,-0.00265,-0.00262,0.79582,0.96155,1.0,0.62216,0.86852,0.8841
Lag_1,0.93905,0.33317,0.058,-0.21786,-0.32146,-0.33197,0.90946,0.59565,0.62216,1.0,0.69635,0.61704
Lag_3,0.64529,0.10169,0.2092,-0.31785,-0.11471,-0.09562,0.90816,0.83351,0.86852,0.69635,1.0,0.79618
Lag_12,0.58572,0.2433,0.17782,-0.30788,-0.24348,-0.23943,0.75772,0.74977,0.8841,0.61704,0.79618,1.0
