,value,Monat,Jahr,pch_sm,Month_cycl_sin,Month_cycl_cos,MA3,MA6,MA12,Lag_1,Lag_3,Lag_12
value,1.0,0.3008,-0.01846,-0.14748,-0.30303,0.28075,0.95612,0.8861,0.63607,0.98635,0.87089,0.54262
Monat,0.3008,1.0,-0.05393,-0.15758,-0.99615,0.96636,0.27956,0.31488,-0.01748,0.29187,0.27462,0.24243
Jahr,-0.01846,-0.05393,1.0,0.15117,0.05638,-0.0443,-0.01792,0.06187,0.2531,-0.01383,-0.02525,0.18485
pch_sm,-0.14748,-0.15758,0.15117,1.0,0.1644,-0.13048,-0.18554,-0.23195,-0.25554,-0.16239,-0.21535,-0.34472
Month_cycl_sin,-0.30303,-0.99615,0.05638,0.1644,1.0,-0.94008,-0.27543,-0.31246,0.01843,-0.28591,-0.26965,-0.24411
Month_cycl_cos,0.28075,0.96636,-0.0443,-0.13048,-0.94008,1.0,0.27911,0.30781,-0.01391,0.29623,0.27684,0.2266
MA3,0.95612,0.27956,-0.01792,-0.18554,-0.27543,0.27911,1.0,0.94697,0.6778,0.98395,0.97126,0.5652
MA6,0.8861,0.31488,0.06187,-0.23195,-0.31246,0.30781,0.94697,1.0,0.77588,0.92276,0.93694,0.68471
MA12,0.63607,-0.01748,0.2531,-0.25554,0.01843,-0.01391,0.6778,0.77588,1.0,0.66711,0.66403,0.91522
Lag_1,0.98635,0.29187,-0.01383,-0.16239,-0.28591,0.29623,0.98395,0.92276,0.66711,1.0,0.91978,0.56546
Lag_3,0.87089,0.27462,-0.02525,-0.21535,-0.26965,0.27684,0.97126,0.93694,0.66403,0.91978,1.0,0.55061
Lag_12,0.54262,0.24243,0.18485,-0.34472,-0.24411,0.2266,0.5652,0.68471,0.91522,0.56546,0.55061,1.0
